iter	Passed	Remaining
490	1154	1196
491	1155	1193
492	1157	1190
493	1159	1187
494	1161	1184
495	1162	1181
496	1164	1178
497	1166	1175
498	1167	1172
499	1169	1169
500	1171	1166
501	1173	1163
502	1174	1160
503	1176	1157
504	1178	1154
505	1179	1151
506	1181	1148
507	1182	1145
508	1184	1142
509	1185	1139
510	1187	1136
511	1189	1134
512	1191	1131
513	1193	1128
514	1194	1125
515	1196	1122
516	1198	1119
517	1199	1116
518	1201	1113
519	1203	1111
520	1205	1108
521	1207	1105
522	1208	1102
523	1210	1099
524	1212	1096
525	1213	1093
526	1215	1091
527	1217	1088
528	1219	1085
529	1220	1082
530	1222	1079
531	1224	1076
532	1225	1074
533	1227	1071
534	1229	1068
535	1231	1065
536	1232	1063
537	1234	1060
538	1236	1057
539	1238	1054
540	1239	1051
541	1241	1049
542	1243	1046
543	1244	1043
544	1246	1040
545	1248	1037
546	1250	1035
547	1251	1032
548	1253	1029
549	1255	1026
550	1256	1024
551	1258	1021
552	1260	1018
553	1262	1016
554	1264	1013
555	1266	1011
556	1267	1008
557	1269	1005
558	1271	1002
559	1272	999
560	1274	997
561	1276	994
562	1278	992
563	1280	989
564	1281	986
565	1283	984
566	1285	981
567	1287	978
568	1289	976
569	1290	973
570	1292	971
571	1294	968
572	1296	966
573	1298	963
574	1300	961
575	1302	958
576	1303	955
577	1305	953
578	1307	950
579	1309	948
580	1311	945
581	1312	942
582	1314	940
583	1315	937
584	1317	934
585	1319	932
586	1320	929
587	1322	926
588	1324	924
589	1326	921
590	1327	919
591	1329	916
592	1331	913
593	1332	911
594	1334	908
595	1335	905
596	1337	902
597	1339	900
598	1341	897
599	1342	895
600	1344	892
601	1346	890
602	1348	887
603	1350	885
604	1351	882
605	1353	880
606	1355	877
607	1356	874
608	1358	872
609	1360	869
610	1361	866
611	1363	864
612	1364	861
613	1366	858
614	1367	856
615	1369	853
616	1371	851
617	1372	848
618	1374	845
619	1375	843
620	1377	840
621	1379	838
622	1380	835
623	1382	832
624	1383	830
625	1385	827
626	1386	825
627	1388	822
628	1390	819
629	1391	817
630	1393	814
631	1394	812
632	1396	809
633	1397	806
634	1399	804
635	1401	801
636	1402	799
637	1404	796
638	1405	794
639	1407	791
640	1409	789
641	1410	786
642	1412	784
643	1414	781
644	1415	779
645	1417	776
646	1418	774
647	1420	771
648	1422	769
649	1423	766
650	1425	764
651	1426	761
652	1428	759
653	1430	756
654	1432	754
655	1433	751
656	1435	749
657	1436	746
658	1438	744
659	1439	741
660	1441	739
661	1442	736
662	1444	734
663	1446	731
664	1448	729
665	1449	726
666	1451	724
667	1452	721
668	1454	719
669	1455	716
670	1457	714
671	1458	712
672	1460	709
673	1462	707
674	1463	704
675	1465	702
676	1466	699
677	1468	697
678	1469	694
679	1471	692
680	1472	689
681	1474	687
682	1476	685
683	1477	682
684	1479	680
685	1481	677
686	1482	675
687	1484	673
688	1485	670
689	1487	668
690	1489	665
691	1490	663
692	1492	661
693	1494	658
694	1495	656
695	1496	653
696	1498	651
697	1499	648
698	1501	646
699	1503	644
700	1505	642
701	1507	639
702	1508	637
703	1510	635
704	1512	632
705	1513	630
706	1515	627
707	1516	625
708	1518	623
709	1520	620
710	1521	618
711	1523	616
712	1524	613
713	1526	611
714	1527	609
715	1529	606
716	1530	604
717	1532	601
718	1534	599
719	1536	597
720	1537	594
721	1539	592
722	1540	590
723	1542	587
724	1543	585
725	1545	583
726	1546	580
727	1548	578
728	1550	576
729	1551	573
730	1553	571
731	1554	569
732	1556	566
733	1557	564
734	1559	562
735	1561	559
736	1562	557
737	1564	555
738	1566	553
739	1567	550
740	1569	548
741	1570	546
742	1572	543
743	1573	541
744	1575	539
745	1576	536
746	1578	534
747	1580	532
748	1581	530
749	1583	527
750	1584	525
751	1586	523
752	1587	520
753	1589	518
754	1591	516
755	1592	514
756	1594	511
757	1596	509
758	1597	507
759	1599	505
760	1600	502
761	1602	500
762	1603	498
763	1605	495
764	1606	493
765	1608	491
766	1610	489
767	1611	486
768	1613	484
769	1614	482
770	1616	480
771	1618	477
772	1619	475
773	1621	473
774	1622	471
775	1632	471
776	1634	469
777	1635	466
778	1637	464
779	1639	462
780	1640	460
781	1642	457
782	1644	455
783	1645	453
784	1647	451
785	1649	448
786	1650	446
787	1652	444
788	1653	442
789	1655	440
790	1657	437
791	1658	435
792	1660	433
793	1661	431
794	1663	428
795	1665	426
796	1666	424
797	1668	422
798	1669	420
799	1671	417
800	1673	415
801	1674	413
802	1676	411
803	1677	409
804	1679	406
805	1680	404
806	1682	402
807	1683	400
808	1685	398
809	1687	395
810	1689	393
811	1690	391
812	1692	389
813	1693	387
814	1695	384
815	1696	382
816	1698	380
817	1700	378
818	1701	376
819	1703	373
820	1704	371
821	1706	369
822	1707	367
823	1709	365
824	1711	362
825	1712	360
826	1714	358
827	1715	356
828	1717	354
829	1719	352
830	1720	349
831	1722	347
832	1723	345
833	1725	343
834	1726	341
835	1728	339
836	1730	336
837	1731	334
838	1733	332
839	1734	330
840	1736	328
841	1737	326
842	1739	323
843	1740	321
844	1742	319
845	1744	317
846	1745	315
847	1747	313
848	1749	311
849	1750	308
850	1752	306
851	1753	304
852	1755	302
853	1756	300
854	1758	298
855	1759	296
856	1761	293
857	1763	291
858	1764	289
859	1766	287
860	1767	285
861	1769	283
862	1771	281
863	1772	279
864	1774	276
865	1775	274
866	1777	272
867	1779	270
868	1780	268
869	1782	266
870	1783	264
871	1785	262
872	1786	259
873	1788	257
874	1789	255
875	1791	253
876	1793	251
877	1794	249
878	1796	247
879	1797	245
880	1799	243
881	1800	240
882	1802	238
883	1804	236
884	1805	234
885	1807	232
886	1808	230
887	1810	228
888	1812	226
889	1813	224
890	1815	222
891	1816	219
892	1818	217
893	1819	215
894	1821	213
895	1823	211
896	1824	209
897	1826	207
898	1828	205
899	1829	203
900	1831	201
901	1832	199
902	1834	197
903	1835	194
904	1837	192
905	1839	190
906	1840	188
907	1842	186
908	1844	184
909	1845	182
910	1847	180
911	1848	178
912	1850	176
913	1852	174
914	1853	172
915	1855	170
916	1857	168
917	1858	166
918	1860	163
919	1861	161
920	1863	159
921	1864	157
922	1866	155
923	1868	153
924	1869	151
925	1871	149
926	1873	147
927	1875	145
928	1876	143
929	1878	141
930	1879	139
931	1881	137
932	1883	135
933	1884	133
934	1886	131
935	1887	129
936	1889	127
937	1891	124
938	1892	122
939	1894	120
940	1896	118
941	1897	116
942	1899	114
943	1901	112
944	1902	110
945	1904	108
946	1905	106
947	1907	104
948	1908	102
949	1910	100
950	1912	98
951	1914	96
952	1915	94
953	1917	92
954	1918	90
955	1920	88
956	1922	86
957	1923	84
958	1925	82
959	1927	80
960	1928	78
961	1930	76
962	1931	74
963	1933	72
964	1935	70
965	1936	68
966	1938	66
967	1939	64
968	1941	62
969	1943	60
970	1944	58
971	1946	56
972	1947	54
973	1949	52
974	1950	50
975	1952	48
976	1954	46
977	1955	43
978	1957	41
979	1959	39
980	1960	37
981	1962	35
982	1963	33
983	1965	31
984	1966	29
985	1968	27
986	1970	25
987	1972	23
988	1974	21
989	1975	19
990	1977	17
991	1979	15
992	1981	13
993	1983	11
994	1984	9
995	1986	7
996	1987	5
997	1989	3
998	1990	1
999	1992	0
