iter	RMSE
828	3006.927351
829	3006.077042
830	3005.498798
831	3003.262439
832	3002.897035
833	3002.070192
834	3001.758103
835	2999.408869
836	2997.211089
837	2993.715185
838	2993.599961
839	2991.562251
840	2990.017154
841	2989.111829
842	2988.814248
843	2987.943013
844	2986.822003
845	2986.213387
846	2985.417998
847	2983.977293
848	2983.326157
849	2982.281838
850	2981.2918
851	2980.689379
852	2979.419127
853	2978.389878
854	2976.90811
855	2976.587353
856	2975.376315
857	2974.097064
858	2972.329726
859	2971.438276
860	2970.078281
861	2969.750329
862	2967.448144
863	2966.458985
864	2965.197384
865	2962.380905
866	2961.488633
867	2960.634877
868	2958.08486
869	2957.181727
870	2956.942953
871	2956.342866
872	2955.563008
873	2955.201732
874	2955.112057
875	2954.082012
876	2952.850369
877	2951.607135
878	2950.271043
879	2949.537578
880	2949.193789
881	2948.444368
882	2947.56788
883	2946.627698
884	2945.789719
885	2945.454836
886	2943.960233
887	2943.124016
888	2942.421616
889	2941.944676
890	2941.154406
891	2939.542
892	2938.759448
893	2938.450127
894	2937.222369
895	2936.303943
896	2935.593767
897	2934.885629
898	2933.952878
899	2932.550864
900	2930.934036
901	2930.145243
902	2927.935005
903	2926.673938
904	2925.285097
905	2924.43391
906	2923.924354
907	2923.32385
908	2921.18961
909	2920.030724
910	2917.9592
911	2915.668227
912	2915.355219
913	2913.887983
914	2909.488054
915	2908.764597
916	2908.459282
917	2907.30098
918	2906.87534
919	2906.192375
920	2904.569414
921	2900.883308
922	2900.440251
923	2900.151935
924	2899.389574
925	2898.743795
926	2897.346121
927	2895.313237
928	2894.656712
929	2893.913336
930	2891.306689
931	2890.29653
932	2888.652295
933	2887.845185
934	2884.451085
935	2883.162472
936	2881.689702
937	2881.135614
938	2879.733755
939	2879.444739
940	2878.150001
941	2874.905502
942	2874.161239
943	2873.790279
944	2873.002822
945	2871.206282
946	2871.167416
947	2870.904689
948	2869.705232
949	2868.085647
950	2867.445762
951	2866.22124
952	2865.159071
953	2863.771792
954	2862.719697
955	2860.41395
956	2857.90855
957	2855.979219
958	2853.50261
959	2852.223708
960	2850.221666
961	2849.98922
962	2849.334284
963	2848.166401
964	2847.210354
965	2846.200933
966	2844.8245
967	2843.512081
968	2842.001174
969	2841.58437
970	2839.40975
971	2838.221658
972	2837.569476
973	2837.162616
974	2836.155867
975	2835.301072
976	2833.92289
977	2832.622438
978	2831.766639
979	2830.572146
980	2830.041214
981	2828.965388
982	2828.19831
983	2827.664225
984	2827.156094
985	2823.882236
986	2822.462962
987	2822.204491
988	2820.584653
989	2818.565417
990	2816.592577
991	2814.848818
992	2813.476155
993	2812.258649
994	2811.005257
995	2809.180559
996	2808.672228
997	2807.685451
998	2806.798745
999	2805.618243
